,AFFGEOID,ALAND,AWATER,CD114FP,CDSESSN,GEOID,LSAD,STATEFP,AreaUncert,CvxHullPS,CvxHullPT,CvxHullPTB,HoleCount,PolsbyPopp,PolyCount,ReockPS,ReockPT,ReockPTB,Schwartzbe,areaAH,perimSH
14,5001400,1320334610,43372086,2,114,3102,C2,31,2243960.5000000000,0.8604339891,0.8604339891,0.8821141984,0.0000000000,0.4519726269,1.0000000000,0.6016062033,0.6016062033,0.5724548805,0.6722890947,1364516263.4807496071,194777.2471870305
15,5001400,116442177819,319452471,3,114,3503,C2,35,2000034.0000000000,0.7884627131,0.7884627131,0.7998929375,0.0000000000,0.3820259646,1.0000000000,0.3763399886,0.3763399886,0.5054479429,0.6180824901,116762494271.5247039795,1959792.8704662870
16,5001400,1251946135,54609411,9,114,4709,C2,47,4642958.5000000000,0.6883821407,0.6883821407,0.8029505422,0.0000000000,0.2045174329,1.0000000000,0.4375520263,0.4375520263,0.7281919715,0.4522360367,1306646222.1811010838,283347.1013903042
17,5001400,2677364772,60510841,22,114,4822,C2,48,0.0000000000,0.7037873218,0.7037873218,0.7037996287,0.0000000000,0.1530639876,1.0000000000,0.3786450345,0.3786450345,0.3786501752,0.3912339296,2737702027.7740607262,474090.7797322863
18,5001400,6493690835,1789304336,6,114,1206,C2,12,2152289.5000000000,0.7005451409,0.7005451409,0.7730421410,0.0000000000,0.2411331474,1.0000000000,0.3011204802,0.3011204802,0.5621977607,0.4910531004,7304918154.6972188950,616998.5618874278
19,5001400,480908598,97628209,14,114,2614,C2,26,2122430.0000000000,0.3964280868,0.3964280868,0.4022764977,0.0000000000,0.1015444778,1.0000000000,0.2591194527,0.2591194527,0.2672884280,0.3186604428,501225178.6186988354,249053.8252075388
20,5001400,202993290,76385505,16,114,3616,C2,36,6497993.5000000000,0.7891457539,0.7722312240,0.8271965696,0.0000000000,0.2921335062,2.0000000000,0.4207925880,0.4214501469,0.5945273416,0.5404937614,220104564.9020269215,97303.5692907508
21,5001400,6346923033,40176664,8,114,3908,C2,39,2000743.5000000000,0.6164988654,0.6164988654,0.6171729090,0.0000000000,0.2728412663,1.0000000000,0.4138010836,0.4138010836,0.4532674940,0.5223420970,6387823493.0860929489,542408.3386000388
22,5001400,1849893422,25863234,13,114,1313,C2,13,0.0000000000,0.6108990914,0.6108990914,0.6109017429,0.0000000000,0.1662583839,1.0000000000,0.3829944609,0.3829944609,0.3829967107,0.4077479417,1875857314.0544126034,376541.6792682438
23,5001400,1278249894,92424585,11,114,611,C2,6,3400985.5000000000,0.7693906055,0.7693906055,0.7851917860,0.0000000000,0.2339827797,1.0000000000,0.2897240156,0.2897240156,0.3265841270,0.4837176652,1312939588.5365815163,265543.3047317425
24,5001400,1749409154,51351303,1,114,901,C2,9,2211222.0000000000,0.6730476494,0.6730476494,0.6769525898,0.0000000000,0.1776350569,1.0000000000,0.4439654841,0.4439654841,0.4826493391,0.4214677412,1800814164.7686033249,356923.4164350150
25,5001400,6314597520,243142780,2,114,2702,C2,27,2552538.0000000000,0.7434812539,0.7434812539,0.8004196651,0.0000000000,0.3256841087,1.0000000000,0.2948845123,0.2948845123,0.3601150582,0.5706874002,6557973389.4701528549,503027.2043442808
26,5001400,906592881,51952358,1,114,3401,C2,34,3235772.5000000000,0.7073697469,0.7073697469,0.7589167426,0.0000000000,0.2779490333,1.0000000000,0.3923150042,0.3923150042,0.4491988300,0.5272087189,958443605.2334506512,208164.0026575699
27,5001400,25240977193,191831525,3,114,5403,C2,54,2452246.0000000000,0.6732973926,0.6732973926,0.7166323043,0.0000000000,0.1898205175,1.0000000000,0.4521599430,0.4521599430,0.5691116559,0.4356839651,25431620085.1883430481,1297538.8471902329
28,5001400,1424086045,18955910,12,114,3712,C2,37,0.0000000000,0.2499809749,0.2499809749,0.2499799305,0.0000000000,0.0304452654,1.0000000000,0.0711088500,0.0711088500,0.0710909184,0.1744857168,1442949850.9775340557,771739.3924466764
29,5001400,4537004521,1710091827,8,114,1208,C2,12,2191345.5000000000,0.7258013381,0.7258013381,0.8077829998,0.0000000000,0.3741221224,1.0000000000,0.3023979427,0.3023979427,0.5130203612,0.6116552316,5369422910.5416517258,424680.2291857472
30,5001400,18792405027,277641845,8,114,1808,C2,18,2228999.5000000000,0.6929819496,0.6929819496,0.8546403133,0.0000000000,0.2142205698,1.0000000000,0.3343018281,0.3343018281,0.5644155137,0.4628396805,19070025199.8671875000,1057669.4990436786
31,5001400,29095485548,313027357,5,114,2105,C2,21,3017218.0000000000,0.7813065081,0.7813065081,0.8233710074,0.0000000000,0.2512288360,1.0000000000,0.4506850546,0.4506850546,0.6120112210,0.5012273297,29409260285.7790298462,1212864.3737543449
32,5001400,9188370960,4065699318,6,114,2606,C2,26,2044403.0000000000,0.8656283577,0.8656283577,0.9588370531,0.0000000000,0.5472134747,1.0000000000,0.5079787150,0.5079787150,0.8159644693,0.7397387882,9453225061.5976562500,465925.5637145041
33,5001400,28779745101,827068899,3,114,5503,C2,55,2078777.0000000000,0.5859923624,0.5859923635,0.6798500332,0.0000000000,0.1685993314,2.0000000000,0.3425718064,0.3425718075,0.4935791143,0.4106084892,29607224335.8337020874,1485510.9423511908
34,5001400,2774576062,69102200,11,114,1311,C2,13,0.0000000000,0.7508019889,0.7508019889,0.7508028977,0.0000000000,0.2826139410,1.0000000000,0.5029689386,0.5029689386,0.4959381043,0.5316144665,2843879907.2618227005,355601.6503111986
35,5001400,7190981166,170813356,7,114,5107,C2,51,0.0000000000,0.6123172299,0.6123172299,0.6123194830,0.0000000000,0.1383885461,1.0000000000,0.2987546892,0.2987546892,0.3362726536,0.3720061103,7362253205.1388378143,817636.4303369612
36,5001400,687483907,665984370,14,114,1214,C2,12,8986757.5000000000,0.5863790228,0.4351921068,0.7089399973,0.0000000000,0.1040460557,9.0000000000,0.3595329924,0.2311841092,0.3440563867,0.3225617084,764925042.8193168640,303949.5895090259
37,5001400,12971361001,462655606,12,114,1712,C2,17,2364336.0000000000,0.6510865111,0.6510865111,0.7482772192,0.0000000000,0.2459170357,1.0000000000,0.3042504647,0.3042504647,0.5236257140,0.4959002276,13433652375.9316215515,828528.9298501750
38,5001400,22765146940,153087143,3,114,1903,C2,19,2039650.0000000000,0.8335303360,0.8335303360,0.8501280781,0.0000000000,0.4893324447,1.0000000000,0.4791225051,0.4791225051,0.5690800681,0.6995230123,22918326929.8699684143,767174.8924213571
39,5001400,17745436539,368131837,3,114,2903,C2,29,4650040.0000000000,0.7739795409,0.7739795409,0.8020619995,0.0000000000,0.2304100748,1.0000000000,0.3616673322,0.3616673322,0.3889746654,0.4800104945,18112950641.7202606201,993913.9847985525
40,5001400,7828035043,225626053,2,114,4502,C2,45,2140103.0000000000,0.7276165180,0.7276165180,0.7342675029,0.0000000000,0.1819081463,1.0000000000,0.4436679187,0.4436679187,0.4510923350,0.4265069124,8053950575.2081470490,745904.6900586934
41,5001400,819873792,4240410,41,114,641,C2,6,0.0000000000,0.7375009930,0.7375009930,0.7374959067,0.0000000000,0.1939450111,1.0000000000,0.4322877027,0.4322877027,0.4062230954,0.4403918836,824112636.3550212383,231078.1661798578
42,5001400,3121946601,31001538,16,114,3916,C2,39,8425353.0000000000,0.5757786278,0.5757786278,0.5757780921,0.0000000000,0.1151139732,1.0000000000,0.3978187009,0.3978187009,0.3546700466,0.3392845019,3152846842.4031438828,586667.9284030941
43,5001400,111948989280,1081502469,2,114,1602,C2,16,2429548.0000000000,0.8128491407,0.8128491407,0.8901593527,0.0000000000,0.3349382305,1.0000000000,0.5914303551,0.5914303551,0.8386611614,0.5787384819,113032932688.3362884521,2059325.8405758247
44,5001400,141733826,37427246,8,114,3408,C2,34,2749261.0000000000,0.5198724355,0.5198724355,0.5405374723,0.0000000000,0.1011464619,1.0000000000,0.2757444508,0.2757444508,0.3546979856,0.3180353154,167548463.2806841135,144277.8987588389
45,5001400,3931313199,41441032,4,114,4204,C2,42,2026802.5000000000,0.8537138456,0.8537138456,0.8539599631,0.0000000000,0.4058030250,1.0000000000,0.4386186275,0.4386186275,0.6437476084,0.6370267067,3971992166.2800960541,350712.6925510467
46,5001400,14259581170,265569396,5,114,4505,C2,45,2413568.0000000000,0.7555443225,0.7555443225,0.7677114435,0.0000000000,0.2209352345,1.0000000000,0.3606324554,0.3606324554,0.4625856957,0.4700374820,14525051027.5207023621,908931.7505479804
47,5001400,15357993814,105180378,6,114,5106,C2,51,2199186.0000000000,0.6951718277,0.6951718277,0.7518763081,0.0000000000,0.1713552618,1.0000000000,0.2641078615,0.2641078615,0.3710650447,0.4139507964,15464001896.3039627075,1064920.4247222543
48,5001400,7219205047,43666727,50,114,650,C2,6,0.0000000000,0.8051608937,0.8051608937,0.8051583214,0.0000000000,0.2333166090,1.0000000000,0.5096048082,0.5096048082,0.5430903011,0.4830285799,7262708017.9108495712,625433.8698123662
49,5001400,7354278768,118616551,16,114,616,C2,6,0.0000000000,0.7443620547,0.7443620547,0.7443638382,0.0000000000,0.2680215373,1.0000000000,0.4539666585,0.4539666585,0.4456761666,0.5177079653,7472879169.3151359558,591921.4322184329
50,5001400,981206645,27262385,6,114,1706,C2,17,0.0000000000,0.5723703623,0.5723703623,0.5723626819,0.0000000000,0.1112616636,1.0000000000,0.3127430375,0.3127430375,0.3127452157,0.3335590857,1008514809.8296325207,337499.6271397717
51,5001400,532292872,10747820,8,114,1708,C2,17,0.0000000000,0.6048043776,0.6048043776,0.6048050255,0.0000000000,0.1260453143,1.0000000000,0.3961995993,0.3961995993,0.3951304337,0.3550286105,542978875.0130717754,232666.0656022656
52,5001400,401885238,2643777,13,114,4213,C2,42,608478.5000000000,0.6037384930,0.6037384930,0.6037372889,0.0000000000,0.0775992800,1.0000000000,0.3449127150,0.3449127150,0.3553333057,0.2785664733,404636157.9575120211,255981.4119545760
53,5001400,19742159194,316389931,25,114,4825,C2,48,0.0000000000,0.6067767163,0.6067767163,0.6067748350,0.0000000000,0.1623381891,1.0000000000,0.2669223932,0.2669223932,0.2669243348,0.4029121357,20058622608.8449363708,1246077.7381707365
54,5001400,680645100,23184756,24,114,4824,C2,48,0.0000000000,0.7494601741,0.7494601741,0.7494617842,0.0000000000,0.2176673386,1.0000000000,0.3780665193,0.3780665193,0.3780692899,0.4665483240,703991429.2151163816,201600.6761127014
55,5001400,8375266427,386742957,25,114,1225,C2,12,4551889.0000000000,0.7421829880,0.7421829880,0.7435816487,0.0000000000,0.3230373129,1.0000000000,0.3970845098,0.3970845098,0.4042723017,0.5683637153,8658169523.0627593994,580352.1930706650
56,5001400,481831648,600687939,13,114,1213,C2,12,4952598.5000000000,0.6898052303,0.6902640303,0.9078814420,0.0000000000,0.1929712854,2.0000000000,0.2585663879,0.2586557600,0.7515891043,0.4392849706,593077749.1293276548,196523.4603349857
57,5001400,6669523132,101611536,10,114,3710,C2,37,2171874.0000000000,0.7024259713,0.7024259713,0.7105675942,0.0000000000,0.2387420989,1.0000000000,0.3461803618,0.3461803618,0.4526008203,0.4886124220,6770986725.7732267380,596989.1104688754
58,5001400,9251133393,64390794,5,114,3705,C2,37,2263618.5000000000,0.7012099575,0.7012099575,0.7110496431,0.0000000000,0.1639030805,1.0000000000,0.4036031948,0.4036031948,0.4818775731,0.4048494541,9315876377.6546726227,845129.4434542432
59,5001400,24291224380,299389839,28,114,4828,C2,48,3174777.0000000000,0.4975259253,0.4975259253,0.5251083262,0.0000000000,0.1385063212,1.0000000000,0.2122923834,0.2122923834,0.2747152162,0.3721643739,24589020852.1456642151,1493622.1739869397
60,5001400,6324922468,2551227886,14,114,4814,C2,48,10823606.5000000000,0.6976412028,0.5087536127,0.6609884430,0.0000000000,0.0933704759,7.0000000000,0.3522314641,0.1897910196,0.3315560690,0.3055658292,6971717037.2609157562,968657.0010310779
61,5001400,1840228113,3691978,16,114,4816,C2,48,2286561.5000000000,0.9425057997,0.9425057997,0.9744095913,0.0000000000,0.5700277117,1.0000000000,0.4872336719,0.4872336719,0.7952017368,0.7550017958,1844208379.8285262585,201633.1537158255
62,5001400,150372534602,449356467,23,114,4823,C2,48,6003200.5000000000,0.7266282419,0.7266282419,0.8664260792,0.0000000000,0.2157338813,1.0000000000,0.2828017710,0.2828017710,0.5452724278,0.4644716152,150823322077.1744995117,2964012.3216745788
63,5001400,1537892540,19684204,35,114,4835,C2,48,0.0000000000,0.3640486125,0.3640486125,0.3640487962,0.0000000000,0.0560212910,1.0000000000,0.0948991003,0.0948991003,0.0948996901,0.2366881725,1557644842.2046351433,591102.2279655808
64,5001400,99325308090,766222982,13,114,4813,C2,48,2165466.5000000000,0.6712894809,0.6712894809,0.8761687174,0.0000000000,0.2659304833,1.0000000000,0.3007044741,0.3007044741,0.5686219467,0.5156844804,100090999249.3395233154,2174795.2865940453
65,5001400,426482311,3389600,9,114,409,C2,4,0.0000000000,0.5388007369,0.5388007369,0.5388061460,0.0000000000,0.1587930724,1.0000000000,0.3255916283,0.3255916283,0.3245549833,0.3984884847,429906073.5165617466,184448.8477017526
66,5001400,103638076153,2945583941,2,114,4902,C2,49,5878064.0000000000,0.8179561921,0.8179561921,0.8181619841,0.0000000000,0.3710258706,1.0000000000,0.5251390691,0.5251390691,0.6831331194,0.6091189298,106590015760.2018737793,1900032.8026521963
67,5001400,583673927,27126111,1,114,2901,C2,29,2639616.0000000000,0.7292047760,0.7292047760,0.7835511996,0.0000000000,0.2770624590,1.0000000000,0.4717994789,0.4717994789,0.6004538291,0.5263672283,611169810.3392093182,166493.4054953908
68,5001400,16075649515,106608469,6,114,1806,C2,18,2089231.5000000000,0.8620493869,0.8620493869,0.8974394703,0.0000000000,0.4703717312,1.0000000000,0.4838145663,0.4838145663,0.6619159713,0.6858365193,16182016895.2995281219,657507.4083131842
69,5001400,31293390163,1224895056,1,114,2101,C2,21,3172996.0000000000,0.6248737001,0.6193696757,0.7021967691,0.0000000000,0.1318545733,2.0000000000,0.2286301239,0.2163207348,0.6028450262,0.3631178504,32516971871.6186447144,1760404.1385487637
70,5001400,10727776894,207561390,1,114,4701,C2,47,2466762.5000000000,0.7693523419,0.7693523419,0.8633616646,0.0000000000,0.2395607180,1.0000000000,0.3026908866,0.3026908866,0.7757296263,0.4894494029,10935227479.7226696014,757375.1297145309
71,5001400,3233297566,72166636,5,114,4705,C2,47,0.0000000000,0.7862882817,0.7855226059,0.7855185216,0.0000000000,0.2983842654,2.0000000000,0.4746145405,0.4746260625,0.4693913152,0.5462456090,3305758206.4414339066,373123.4251567075
72,5001400,4137784871,62451338,14,114,1714,C2,17,2000807.0000000000,0.6510886347,0.6510886347,0.6514307744,0.0000000000,0.1668917106,1.0000000000,0.3192909048,0.3192909048,0.3510834645,0.4085238188,4201566599.3766775131,562461.9847446759
73,5001400,16769383649,325257503,6,114,4706,C2,47,2417122.5000000000,0.7087757816,0.7087757816,0.7132389932,1.0000000000,0.2432541469,1.0000000000,0.4031847856,0.4031847856,0.5624371117,0.4932080159,17094354855.2226810455,939725.8274954393
74,5001400,248167134,1377952,5,114,1705,C2,17,4625850.0000000000,0.4898462644,0.4898462644,0.4903209832,0.0000000000,0.0943487629,1.0000000000,0.3319564772,0.3319564772,0.3114926189,0.3071624373,249692789.5410303473,182364.3015586131
75,5001400,727505350,14393991,11,114,1711,C2,17,0.0000000000,0.5447046815,0.5447046815,0.5447009715,0.0000000000,0.1242533064,1.0000000000,0.3650536992,0.3650536992,0.3571031777,0.3524958247,741955966.0892703533,273930.2668531747
76,5001400,272940465,1558242,9,114,1709,C2,17,3619570.5000000000,0.5979666483,0.5979666483,0.6133858617,0.0000000000,0.1415377543,1.0000000000,0.2426850073,0.2426850073,0.2909106237,0.3762150373,274222142.4853192568,156034.2872837372
77,5001400,1432623041,512378639,49,114,649,C2,6,2679729.5000000000,0.5894571971,0.5894571971,0.7511106020,0.0000000000,0.1542682543,1.0000000000,0.2212005827,0.2212005827,0.3714504410,0.3927699763,1444070857.8157920837,342973.7653724931
78,5001400,85126210480,450307265,8,114,608,C2,6,2663387.5000000000,0.8191292116,0.8191292116,0.8235377756,0.0000000000,0.2841052394,1.0000000000,0.2256466507,0.2256466507,0.4342992429,0.5330152337,85580863207.1659088135,1945600.3775194362
79,5001400,12624185548,1574913163,20,114,620,C2,6,3264785.0000000000,0.8461385196,0.8451603894,0.9040807996,0.0000000000,0.3310821780,2.0000000000,0.3537962958,0.3537981947,0.4556441900,0.5753974087,12722704521.1536598206,694907.1028913133
80,5001400,321774529,5320498,32,114,632,C2,6,0.0000000000,0.6498586157,0.6498586157,0.6498533337,0.0000000000,0.1345395815,1.0000000000,0.3939691575,0.3939691575,0.3939711233,0.3667963760,327183470.3753038049,174813.7435646906
81,5001400,2372242343,15213802,19,114,619,C2,6,0.0000000000,0.7754563973,0.7754563973,0.7754528800,0.0000000000,0.2297666032,1.0000000000,0.4601093778,0.4601093778,0.4601124532,0.4793397576,2387423054.9624052048,361348.4297663986
82,5001400,1812793199,7559686,27,114,627,C2,6,0.0000000000,0.7572972517,0.7572972517,0.7572937071,0.0000000000,0.2362819065,1.0000000000,0.5726171059,0.5726171059,0.5610428593,0.4860883732,1820138916.4062247276,311130.0555127341
83,5001400,1552875750,69374049,15,114,615,C2,6,2693524.0000000000,0.7715113130,0.7715113130,0.7734745886,0.0000000000,0.3090605768,1.0000000000,0.3949420477,0.3949420477,0.4117559777,0.5559321692,1565146867.3843817711,252267.1349233296
84,5001400,350757638,6842137,53,114,653,C2,6,0.0000000000,0.7026436283,0.7026436283,0.7026481973,0.0000000000,0.1655108548,1.0000000000,0.4304789552,0.4304789552,0.4589877349,0.4068302530,357510623.3715381622,164754.0756479024
85,5001400,33247296220,858147109,4,114,604,C2,6,2153926.5000000000,0.8205439938,0.8205439938,0.8338529765,0.0000000000,0.2983057630,1.0000000000,0.3226362633,0.3226362633,0.4031237064,0.5461737480,34104978390.8765945435,1198624.0835558840
86,5001400,7378105732,103447326,3,114,3203,C2,32,3483274.0000000000,0.9061511798,0.9061511798,0.9434559776,0.0000000000,0.4220850871,1.0000000000,0.3451595326,0.3451595326,0.8269116162,0.6496807578,7479297799.3722419739,471884.0963117869
87,5001400,132083026429,628297894,4,114,3204,C2,32,5318708.5000000000,0.8738817144,0.8738817144,0.8783902366,0.0000000000,0.5195645745,1.0000000000,0.5257134469,0.5257134469,0.7212136913,0.7208082786,132707779724.0782165527,1791568.2515518982
88,5001400,6087286879,129397696,1,114,2501,C2,25,2181031.5000000000,0.7487761140,0.7487761140,0.7742774029,0.0000000000,0.3144490373,1.0000000000,0.4103600040,0.4103600040,0.6403201543,0.5607575566,6216089402.4099130630,498411.9233863156
89,5001400,40280272922,959085891,2,114,2802,C2,28,2178293.5000000000,0.7837867935,0.7837867935,0.8646743063,0.0000000000,0.1517586651,1.0000000000,0.3766565322,0.3766565322,0.6289742853,0.3895621453,41240005593.6629333496,1847938.6161506607
90,5001400,2233888247,21404312,7,114,4207,C2,42,2584497.5000000000,0.4588168270,0.4588168270,0.4769841688,0.0000000000,0.0422515486,1.0000000000,0.3366883301,0.3366883301,0.4017655181,0.2055518148,2256984639.0036954880,819309.3632398616
91,5001400,21698029750,298832373,10,114,4210,C2,42,3046583.0000000000,0.5941707990,0.5941707990,0.6045842791,0.0000000000,0.1465121301,1.0000000000,0.3321965695,0.3321965695,0.3809981965,0.3827690297,21997281278.0848579407,1373575.8448188787
92,5001400,1831099436,49241182,8,114,4208,C2,42,2047089.5000000000,0.7673890305,0.7673890305,0.8236397406,0.0000000000,0.3714064307,1.0000000000,0.4202601484,0.4202601484,0.5576875764,0.6094312354,1880783347.1573312283,252260.7065999351
93,5001400,13644928825,518870465,3,114,4503,C2,45,2127772.5000000000,0.8577957495,0.8577957495,0.9132072715,0.0000000000,0.3488240989,1.0000000000,0.4875824063,0.4875824063,0.7445334547,0.5906133244,14163759517.7695369720,714316.9633018960
94,5001400,20883164570,863195414,6,114,4506,C2,45,9322050.0000000000,0.6678405676,0.6678405676,0.6859567615,0.0000000000,0.0883331468,1.0000000000,0.4377855192,0.4377855192,0.5533258336,0.2972089279,21676584942.1723899841,1756056.6089268234
95,5001400,3553763018,35974470,10,114,5110,C2,51,2341376.5000000000,0.5920193504,0.5920193504,0.7268997476,0.0000000000,0.1325495873,1.0000000000,0.2898381675,0.2898381675,0.4571896063,0.3640736015,3589224809.9511651993,583332.3643854884
96,5001400,386530038,28921796,8,114,5108,C2,51,3357329.5000000000,0.7978777740,0.7978777740,0.8657639573,0.0000000000,0.2791150967,1.0000000000,0.3851047581,0.3851047581,0.4762943860,0.5283134455,404059874.4724179506,134876.4512658228
97,5001400,2141250199,233336680,10,114,5310,C2,53,3324715.5000000000,0.7093386276,0.7199962201,0.7630580394,0.0000000000,0.1727670338,4.0000000000,0.3879048060,0.3932118729,0.4236692110,0.4156525397,2261051093.3007287979,405536.2507110283
98,5001400,16254295416,176409446,1,114,5401,C2,54,2197584.0000000000,0.4643940302,0.4643940302,0.7455615556,0.0000000000,0.1439788375,1.0000000000,0.2901601901,0.2901601901,0.5057998078,0.3794454341,16430757017.1850738525,1197524.4447532208
99,5001400,8507367969,7462252333,2,114,2602,C2,26,2549640.0000000000,0.8336975520,0.8336975520,0.8692154488,0.0000000000,0.3526800231,1.0000000000,0.4088943856,0.4088943856,0.5006436121,0.5938686918,8855489881.0712699890,561721.1771472420
100,5001400,1085446544,55801941,11,114,2611,C2,26,0.0000000000,0.6410389719,0.6410389719,0.6410447568,0.0000000000,0.1574474998,1.0000000000,0.4506439058,0.4506439058,0.4133012880,0.3967965471,1141255403.0348711014,301806.4180626072
101,5001400,3893103537,99752492,8,114,2608,C2,26,0.0000000000,0.7626823915,0.7626823915,0.7626873085,0.0000000000,0.3698923624,1.0000000000,0.2886364642,0.2886364642,0.2886384078,0.6081877690,3992937056.2529358864,368309.9758536301
102,5001400,77166989,711425,6,114,3606,C2,36,2538097.0000000000,0.8004742681,0.8004742681,0.8006559205,0.0000000000,0.3572820911,1.0000000000,0.4287827619,0.4287827619,0.4322042534,0.5977307848,77923052.0206209719,52351.8803806126
103,5001400,74744000,46974581,8,114,3608,C2,36,7298548.5000000000,0.5545745969,0.5545745969,0.5674085307,0.0000000000,0.2062706417,1.0000000000,0.3780366215,0.3780366215,0.4166631770,0.4541702783,105072712.2834885120,80007.5909225524
104,5001400,3505386191,162160235,18,114,3618,C2,36,4491772.0000000000,0.7222776597,0.7222776597,0.7357799301,0.0000000000,0.3166000232,1.0000000000,0.3815715094,0.3815715094,0.5163110567,0.5626722165,3667791155.7953348160,381550.2656918759
105,5001400,660290869,301947096,3,114,3603,C2,36,5491525.5000000000,0.7842149390,0.7597269330,0.8757313560,0.0000000000,0.1604137715,2.0000000000,0.3706031722,0.3160688560,0.4569309262,0.4005168804,680618136.2394435406,230906.3444646749
106,5001400,15713026281,2275882448,1,114,101,C2,1,2405061.5000000000,0.6606474184,0.6571295717,0.8045899673,0.0000000000,0.1110376606,7.0000000000,0.4360085142,0.4104753845,0.6584818248,0.3332231394,16118878414.8905372620,1350632.4818046188
107,5001400,23022866978,572885003,4,114,104,C2,1,4803517.0000000000,0.6227183563,0.6227183563,0.6230445593,0.0000000000,0.1852757245,1.0000000000,0.3638624943,0.3638624943,0.4454303817,0.4304366673,23597224715.8422889709,1265103.7295870678
108,5001400,2512723917,47207825,7,114,3407,C2,34,2438968.0000000000,0.7022109458,0.7022109458,0.7263663688,0.0000000000,0.2182782327,1.0000000000,0.4959904793,0.4959904793,0.5160723012,0.4672025607,2559841651.5972476006,383889.5305685247
109,5001400,246915922,19228539,9,114,3409,C2,34,2097500.0000000000,0.5862914935,0.5862914935,0.5873090912,0.0000000000,0.1803918727,1.0000000000,0.4577272755,0.4577272755,0.4479988352,0.4247256441,266357335.8288455009,136216.2059275678
110,5001400,98686018168,435843057,4,114,804,C2,8,2000785.0000000000,0.8121856582,0.8121856582,0.8134741601,0.0000000000,0.3729802732,1.0000000000,0.4631707222,0.4631707222,0.6191799349,0.6107211092,99117214965.6460876465,1827412.3092242256
